subjID	trial	cue	keyPressed	outcome	rt
1	1	3	0	-1	0.4553517
1	2	4	1	0	0.733081
1	3	4	1	-1	0.85511
1	4	2	0	0	1.188513
1	5	3	1	0	1.399611
1	6	4	0	-1	0.7551678
1	7	4	1	-1	0.8990384
1	8	2	0	0	1.876718
1	9	1	1	0	1.077252
1	10	4	0	0	1.565872
1	11	3	0	0	2.054686
1	12	4	1	0	1.032607
1	13	4	1	-1	0.7995459
1	14	2	0	0	1.221725
1	15	1	1	0	0.8216201
1	16	3	1	0	0.9215574
1	17	2	1	-1	1.18841
1	18	3	1	-1	1.39933
1	19	1	0	-1	1.210654
1	20	3	0	-1	1.6328
1	21	2	0	0	2.509693
1	22	4	0	-1	1.132775
1	23	1	1	-1	1.132817
1	24	3	0	-1	1.276851
1	25	3	1	-1	1.166055
1	26	3	1	-1	1.010804
1	27	1	1	0	1.432879
1	28	4	0	0	1.11066
1	29	2	0	-1	1.466365
1	30	1	0	-1	1.577015
1	31	4	0	-1	1.299181
1	32	3	1	0	0.8661667
1	33	2	1	-1	0.921602
1	34	3	0	0	1.510268
1	35	4	0	0	1.12157
1	36	2	0	0	1.466009
1	37	2	0	0	1.143844
1	38	1	1	0	1.432608
1	39	4	0	-1	1.221882
1	40	4	1	0	0.8884493
1	41	1	0	0	1.454805
1	42	3	1	0	1.643811
1	43	3	1	0	1.321696
1	44	2	1	-1	1.531914
1	45	1	0	-1	1.532188
1	46	2	0	0	1.565934
1	47	3	0	0	1.010664
1	48	3	0	0	1.165905
1	49	2	0	0	1.154984
1	50	1	0	-1	1.099742
1	51	1	1	0	1.61033
1	52	4	1	-1	1.332888
1	53	1	1	0	1.010667
1	54	2	0	0	1.199323
1	55	1	1	-1	1.221795
1	56	2	0	0	1.321477
1	57	4	0	0	0.8881776
1	58	1	1	0	1.24405
1	59	1	0	-1	2.509506
1	60	2	1	-1	0.7329613
1	61	4	0	-1	2.288064
1	62	4	0	0	0.9550563
1	63	4	0	-1	1.066115
1	64	3	1	0	1.177402
1	65	3	1	-1	0.8552408
1	66	2	1	-1	0.9662025
1	67	1	0	0	0.9218361
1	68	2	0	0	1.077025
1	69	2	1	-1	0.9885534
1	70	4	0	-1	1.088271
1	71	1	1	0	1.088562
1	72	4	1	-1	1.110371
1	73	1	0	-1	1.266264
1	74	4	1	-1	0.8775036
1	75	2	1	-1	1.487912
1	76	1	1	0	0.8440431
1	77	3	0	-1	0.9771905
1	78	2	1	0	1.010768
1	79	3	0	-1	0.9994152
1	80	3	1	0	1.154831
1	81	1	1	0	1.088101
1	82	4	1	0	0.8106714
1	83	4	1	0	0.8441585
1	84	2	1	-1	1.543722
1	85	1	0	-1	1.432563
1	86	3	1	-1	1.310656
1	87	2	1	-1	1.365999
1	88	1	1	0	1.110841
1	89	3	0	-1	1.143802
1	90	2	1	0	1.41073
1	91	4	1	0	1.243893
1	92	2	0	-1	1.921105
1	93	1	1	0	1.621379
1	94	2	1	-1	1.599334
1	95	1	0	0	1.555028
1	96	1	0	-1	1.443779
1	97	4	1	-1	1.199229
1	98	1	1	0	1.344311
1	99	3	1	-1	1.499522
1	100	2	0	-1	1.37719
1	101	2	1	0	0.9331467
1	102	4	1	0	1.032769
1	103	4	1	0	0.954994
1	104	1	1	0	1.455298
1	105	4	1	-1	1.176859
1	106	2	0	0	1.410772
1	107	1	0	0	0.9995676
1	108	3	1	0	1.27696
1	109	4	1	0	1.010035
1	110	3	1	-1	1.321952
1	111	1	1	-1	1.255035
1	112	3	1	-1	1.020806
1	113	1	1	0	1.221862
1	114	3	1	-1	1.399518
1	115	4	1	-1	1.100116
1	116	3	0	-1	1.166028
1	117	3	1	0	1.066117
1	118	3	1	-1	1.143875
1	119	2	1	-1	1.210341
1	120	2	1	-1	1.133137
1	121	3	0	0	1.543753
1	122	4	1	-1	0.9549528
1	123	3	0	-1	0.9774383
1	124	2	0	0	1.099646
1	125	1	0	-1	1.11092
1	126	3	1	0	1.232831
1	127	3	1	0	1.066211
1	128	3	1	0	0.9998559
1	129	2	0	0	1.310667
1	130	4	1	-1	0.9638348
1	131	1	0	0	1.554734
1	132	2	1	-1	1.066225
1	133	1	0	-1	1.654654
1	134	3	0	-1	2.510386
1	135	2	1	0	1.010775
1	136	3	0	-1	1.01087
1	137	1	0	-1	1.177305
1	138	4	0	0	1.26619
1	139	4	0	-1	1.177532
1	140	1	1	0	0.8773733
1	141	4	1	0	1.344226
1	142	1	0	-1	1.110855
1	143	4	1	-1	0.9995843
1	144	3	1	0	1.088484
1	145	3	1	0	0.9996508
1	146	1	0	-1	0.9107307
1	147	1	1	0	0.9776866
1	148	4	1	-1	1.121858
1	149	2	1	-1	1.277171
1	150	2	0	-1	1.044046
1	151	4	0	0	0.8551156
1	152	4	0	0	0.9772935
1	153	1	1	0	1.32149
1	154	2	1	-1	1.044365
1	155	1	1	0	1.221887
1	156	3	0	-1	1.122111
1	157	4	0	0	1.277262
1	158	4	0	0	0.9773672
1	159	1	1	-1	1.1883
1	160	1	0	-1	1.299494
1	161	2	1	-1	1.399007
1	162	3	1	-1	1.25507
1	163	2	1	-1	1.910102
1	164	4	0	0	0.8997078
1	165	1	0	0	1.221604
1	166	3	1	0	1.077149
