subjID	trial	cue	keyPressed	outcome	rt
1	1	3	0	-1	0.9106086
1	2	4	0	-1	1.256202
1	3	4	1	-1	1.51056
1	4	2	0	0	1.066378
1	5	3	1	0	1.177373
1	6	4	1	0	1.266242
1	7	4	1	-1	1.233017
1	8	2	0	0	1.077724
1	9	1	1	0	1.688136
1	10	4	0	0	1.221806
1	11	3	1	-1	1.41018
1	12	4	1	0	1.488384
1	13	4	0	0	1.221707
1	14	2	0	0	1.010896
1	15	1	1	0	1.032896
1	16	3	1	0	1.243984
1	17	2	0	-1	1.010429
1	18	3	1	-1	1.277086
1	19	1	1	0	1.42167
1	20	3	1	-1	1.210569
1	21	2	0	0	1.04389
1	22	4	1	0	1.69814
1	23	1	1	-1	1.410518
1	24	3	0	-1	0.8889864
1	25	3	1	-1	1.654678
1	26	3	0	0	0.9995003
1	27	1	1	0	1.132721
1	28	4	1	0	1.699265
1	29	2	0	-1	0.9664307
1	30	1	1	0	1.277346
1	31	4	1	-1	1.588401
1	32	3	0	0	1.288233
1	33	2	1	-1	1.310477
1	34	3	1	-1	1.699378
1	35	4	0	0	1.575674
1	36	2	0	0	1.221745
1	37	2	1	0	1.821314
1	38	1	1	0	1.832502
1	39	4	0	-1	1.232475
1	40	4	1	0	2.510252
1	41	1	1	0	1.710203
1	42	3	1	0	1.965839
1	43	3	1	0	2.509884
1	44	2	0	0	1.399439
1	45	1	1	0	2.06584
1	46	2	0	0	1.088601
1	47	3	1	-1	2.010284
1	48	3	1	-1	1.810364
1	49	2	0	0	0.9439918
1	50	1	1	0	1.232885
1	51	1	1	0	1.24438
1	52	4	0	-1	1.232636
1	53	1	1	0	1.177346
1	54	2	0	0	0.8884426
1	55	1	1	-1	1.232702
1	56	2	0	0	1.110564
1	57	4	1	0	2.143231
1	58	1	1	0	1.289
1	59	1	1	-1	1.199371
1	60	2	0	0	0.9998098
1	61	4	1	-1	2.510072
1	62	4	0	0	1.45496
1	63	4	0	-1	1.076396
1	64	3	1	0	1.466102
1	65	3	1	-1	2.010131
1	66	2	0	0	0.9220445
1	67	1	1	0	1.521492
1	68	2	0	0	0.9664521
1	69	2	0	0	0.9108674
1	70	4	0	-1	1.632525
1	71	1	1	0	1.288396
1	72	4	1	-1	1.754762
1	73	1	1	0	1.188147
1	74	4	0	-1	0.8330547
1	75	2	0	0	0.8325729
1	76	1	1	0	1.043874
1	77	3	1	0	1.288295
1	78	2	0	0	0.8553238
1	79	3	1	0	1.310858
1	80	3	1	0	1.299675
1	81	1	1	0	1.477034
1	82	4	0	0	0.8553945
1	83	4	0	0	0.8772755
1	84	2	0	-1	0.988472
1	85	1	1	-1	1.066094
1	86	3	1	-1	1.676973
1	87	2	0	0	0.7885216
1	88	1	1	0	1.199204
1	89	3	1	-1	1.266257
1	90	2	0	0	0.8661474
1	91	4	1	0	0.9773444
1	92	2	0	-1	1.154601
1	93	1	1	0	0.9993836
1	94	2	0	0	0.8331164
1	95	1	1	0	1.199583
1	96	1	1	0	0.9664925
1	97	4	0	0	0.9886246
1	98	1	1	0	1.31049
1	99	3	1	-1	1.332612
1	100	2	0	-1	0.8664623
1	101	2	0	0	0.7998435
1	102	4	0	-1	1.432969
1	103	4	1	0	1.444106
1	104	1	1	0	1.099424
